Time (sec),Area-wt-avg Static Temperature at outlet (k)
3001,519.7731965
3002,519.6969439
3003,519.6210449
3004,519.5454954
3005,519.4702912
3006,519.3954284
3007,519.3209029
3008,519.246711
3009,519.1728488
3010,519.0993127
3011,519.0260991
3012,518.9532045
3013,518.8806255
3014,518.8083587
3015,518.7364009
3016,518.6647489
3017,518.5933995
3018,518.5223497
3019,518.4515965
3020,518.381137
3021,518.3109682
3022,518.2410874
3023,518.1714919
3024,518.1021789
3025,518.0331459
3026,517.9643902
3027,517.8959093
3028,517.8277007
3029,517.759762
3030,517.6920908
3031,517.6246847
3032,517.5575415
3033,517.4906589
3034,517.4240346
3035,517.3576665
3036,517.2915525
3037,517.2256905
3038,517.1600783
3039,517.0947139
3040,517.0295954
3041,516.9647208
3042,516.9000881
3043,516.8356954
3044,516.7715409
3045,516.7076227
3046,516.643939
3047,516.580488
3048,516.5172679
3049,516.454277
3050,516.3915135
3051,516.3289759
3052,516.2666623
3053,516.2045713
3054,516.1427011
3055,516.0810501
3056,516.0196168
3057,515.9583997
3058,515.8973971
3059,515.8366076
3060,514.4985919
3061,514.4172292
3062,514.336292
3063,514.2557788
3064,514.1756875
3065,514.0960161
3066,514.0167621
3067,513.937923
3068,513.859496
3069,513.7814783
3070,513.7038668
3071,513.6266586
3072,513.5498503
3073,513.4734388
3074,513.3974207
3075,513.3217925
3076,513.246551
3077,513.1716925
3078,513.0972136
3079,513.0231108
3080,512.9493806
3081,512.8760194
3082,512.8030237
3083,512.7303899
3084,512.6581146
3085,512.5861941
3086,512.5146251
3087,512.4434039
3088,512.3725273
3089,512.3019916
3090,512.2317936
3091,512.1619299
3092,512.092397
3093,512.0231916
3094,511.9543105
3095,511.8857505
3096,511.8175082
3097,511.7495806
3098,511.6819644
3099,511.6146565
3100,511.5476539
3101,511.4809535
3102,511.4145524
3103,511.3484475
3104,511.282636
3105,511.2171149
3106,511.1518814
3107,511.0869327
3108,511.022266
3109,510.9578786
3110,510.8937678
3111,510.8299309
3112,510.7663653
3113,510.7030684
3114,510.6400376
3115,510.5772705
3116,510.5147646
3117,510.4525174
3118,510.3905265
3119,510.3287895
3120,508.3737494
3121,508.2813806
3122,508.1895728
3123,508.0983221
3124,508.0076246
3125,507.9174759
3126,507.8278715
3127,507.7388066
3128,507.6502763
3129,507.5622754
3130,507.4747988
3131,507.387841
3132,507.3013968
3133,507.2154605
3134,507.1300268
3135,507.0450901
3136,506.9606448
3137,506.8766852
3138,506.793206
3139,506.7102015
3140,506.6276662
3141,506.5455945
3142,506.4639811
3143,506.3828206
3144,506.3021075
3145,506.2218366
3146,506.1420026
3147,506.0626002
3148,505.9836245
3149,505.9050702
3150,505.8269325
3151,505.7492063
3152,505.6718868
3153,505.5949692
3154,505.5184489
3155,505.442321
3156,505.3665812
3157,505.2912247
3158,505.2162473
3159,505.1416446
3160,505.0674122
3161,504.993546
3162,504.9200418
3163,504.8468955
3164,504.7741031
3165,504.7016606
3166,504.6295643
3167,504.5578102
3168,504.4863946
3169,504.4153139
3170,504.3445644
3171,504.2741425
3172,504.2040448
3173,504.1342679
3174,504.0648083
3175,503.9956628
3176,503.926828
3177,503.8583008
3178,503.7900781
3179,503.7221566
3180,501.3850021
3181,501.2810819
3182,501.1781568
3183,501.0761993
3184,500.9751832
3185,500.8750836
3186,500.7758765
3187,500.6775392
3188,500.5800497
3189,500.4833871
3190,500.3875314
3191,500.2924633
3192,500.1981644
3193,500.1046169
3194,500.0118039
3195,499.919709
3196,499.8283166
