Time (sec),Area-wt-avg Static Temperature at outlet (k)
1,406.7559895
2,408.750738
3,410.7171213
4,412.6558694
5,414.5676874
6,416.453256
7,418.3132328
8,420.1482532
9,421.9589315
10,423.7458612
11,425.5096166
12,427.250753
13,428.9698078
14,430.667301
15,432.3437359
16,433.9996002
17,435.6353657
18,437.2514898
19,438.8484156
20,440.4265726
21,441.9863772
22,443.5282329
23,445.0525314
24,446.5596524
25,448.0499645
26,449.5238252
27,450.9815819
28,452.4235714
29,453.8501212
30,455.2615492
31,456.6581643
32,458.0402665
33,459.4081477
34,460.7620912
35,462.1023729
36,463.4292608
37,464.7430156
38,466.0438911
39,467.332134
40,468.6079845
41,469.8716764
42,471.1234374
43,472.363489
44,473.592047
45,474.8093217
46,476.0155177
47,477.2108348
48,478.3954672
49,479.5696046
50,480.7334316
51,481.8871283
52,483.0308706
53,484.1648295
54,485.2891723
55,486.4040619
56,487.5096575
57,488.6061142
58,489.6935836
59,490.7722135
60,489.6382764
61,490.6633981
62,491.6804481
63,492.6895548
64,493.6908433
65,494.6844362
66,495.6704531
67,496.6490112
68,497.6202247
69,498.5842055
70,499.5410632
71,500.4909046
72,501.4338344
73,502.3699549
74,503.2993665
75,504.2221669
76,505.1384522
77,506.0483161
78,506.9518505
79,507.8491454
80,508.7402887
81,509.6253666
82,510.5044635
83,511.377662
84,512.2450431
85,513.106686
86,513.9626685
87,514.8130665
88,515.6579546
89,516.497406
90,517.3314922
91,518.1602833
92,518.9838482
93,519.8022544
94,520.6155678
95,521.4238535
96,522.2271749
97,523.0255945
98,523.8191734
99,524.6079716
100,525.392048
101,526.1714604
102,526.9462655
103,527.7165189
104,528.4822751
105,529.2435879
106,530.0005099
107,530.7530926
108,531.5013868
109,532.2454423
110,532.9853081
111,533.7210322
112,534.4526618
113,535.1802432
114,535.9038221
115,536.623443
116,537.3391501
117,538.0509866
118,538.7589949
119,539.4632167
120,539.5230521
121,540.2092855
122,540.8919545
123,541.5710963
124,542.2467474
125,542.9189436
126,543.5877203
127,544.2531121
128,544.9151533
129,545.5738775
130,546.2293177
131,546.8815067
132,547.5304764
133,548.1762586
134,548.8188842
135,549.4583839
136,550.0947878
137,550.7281257
138,551.3584268
139,551.9857199
140,552.6100334
141,553.2313952
142,553.8498329
143,554.4653737
144,555.0780442
145,555.6878707
146,556.2948794
147,556.8990957
148,557.5005449
149,558.0992518
150,558.695241
151,559.2885365
152,559.8791623
153,560.4671418
154,561.0524981
155,561.6352541
156,562.2154324
157,562.793055
158,563.368144
159,563.9407209
160,564.510807
161,565.0784234
162,565.6435908
163,566.2063297
164,566.7666602
165,567.3246023
166,567.8801757
167,568.4333997
168,568.9842934
169,569.5328759
170,570.0791657
171,570.6231813
172,571.1649409
173,571.7044623
174,572.2417633
175,572.7768614
176,573.3097739
177,573.8405177
178,574.3691099
179,574.895567
180,573.8715317
181,574.3683065
182,574.8632492
183,575.3563741
184,575.8476953
185,576.3372264
186,576.8249808
187,577.3109714
188,577.7952108
189,578.2777115
190,578.7584856
191,579.2375449
192,579.7149011
193,580.1905655
194,580.6645493
195,581.1368634
196,581.6075188
197,582.0765259
198,582.5438952
199,583.009637
200,583.4737613
201,583.9362781
202,584.3971972
203,584.8565283
204,585.314281
205,585.7704645
206,586.2250883
207,586.6781615
208,587.1296932
209,587.5796924
210,588.0281679
211,588.4751284
212,588.9205827
213,589.3645393
214,589.8070067
215,590.2479933
216,590.6875074
217,591.1255573
218,591.5621511
219,591.9972969
220,592.4310026
221,592.8632763
222,593.2941257
223,593.7235587
224,594.151583
225,594.5782062
226,595.003436
227,595.4272797
228,595.849745
229,596.2708392
230,596.6905696
231,597.1089435
232,597.5259682
233,597.9416507
234,598.3559982
235,598.7690178
236,599.1807165
237,599.5911011
238,600.0001785
239,600.4079557
240,600.5940911
241,600.9956668
242,601.3959988
243,601.795093
244,602.1929553
245,602.5895915
246,602.9850074
247,603.3792088
248,603.7722015
249,604.1639911
250,604.5545833
251,604.9439839
252,605.3321983
253,605.7192323
254,606.1050913
255,606.4897809
256,606.8733067
257,607.2556739
258,607.6368882
259,608.016955
260,608.3958795
261,608.7736671
262,609.1503232
263,609.5258531
264,609.900262
265,610.2735551
266,610.6457376
267,611.0168148
268,611.3867916
269,611.7556733
270,612.123465
271,612.4901715
272,612.8557981
273,613.2203497
274,613.5838311
275,613.9462474
276,614.3076035
277,614.6679042
278,615.0271544
279,615.3853588
280,615.7425224
281,616.0986497
282,616.4537455
283,616.8078147
284,617.1608617
285,617.5128912
286,617.863908
